Year,UNIT_MULT,COMMENT_OBS,SDG Series,Unit of measure,Unit multiplier,Value
2015,9,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.0
2016,9,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.0
2017,9,,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.00295
2018,9,,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.01519
2019,9,,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.06514
2020,9,,Fossil-fuel subsidies (consumption and production) [12.c.1],USD,Billions,0.00128
2015,0,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.0
2016,0,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.0
2017,0,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.01455
2018,0,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.07051
2019,0,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.28954
2020,0,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,0.00564
2015,0,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,0.0
2016,0,Obs_Value = 0;  ,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,0.0
2017,0,,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,0.19151
2018,0,,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,0.95832
2019,0,,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,3.99727
2020,0,,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,0.07646
