Year,Value
1974,0.40569
1975,0.92979
1976,1.60266
1977,1.46574
1978,1.69542
1979,1.37754
1980,1.70848
1981,1.6649
1982,1.652
1983,1.65201
1984,1.54249
1985,2.07961
1986,2.02055
1987,1.81619
1988,1.83134
1989,1.77121
1990,1.92218
1991,2.24063
1992,2.26101
1993,2.30739
1994,2.261
1995,2.30826
1996,2.29399
1997,2.49054
1998,2.26603
1999,2.82171
2000,3.89256
2001,4.68582
2002,4.94009
2003,5.83985
2004,6.29198
2005,7.1681
2006,7.91649
2007,8.52764
2008,8.79367
2009,8.39741
2010,9.17493
2011,9.07152
2012,8.92496
2013,9.39758
2014,9.75703
2015,9.88904
2016,10.40204
2017,10.23459
2018,10.5012
2019,10.82203
2020,10.39553
